,Symbol,5Y,1Y,4M,3M,1D
238,IEX,76.67,150.55,174.27,117.48,158.97
239,IFF,116.74,133.52,135.74,101.04,134.19
240,ILMN,204.2,306.0,292.09,224.8,363.395
241,INCY,108.3,77.57,77.4635,66.5,101.24
242,INFO,26.5,57.01,80.32,50.54,70.49
243,INTC,33.68,43.9,67.37,45.91,61.7
244,INTU,104.09,243.59,297.46,204.53,288.07
245,IP,51.29,40.8166,43.25,29.01,35.365
246,IPG,20.22,21.05,24.68,13.09,17.51
247,IPGP,93.99,124.85,143.4,106.35,162.18
248,IQV,,134.39,162.17,89.5674,149.93
249,IR,68.39,118.24,145.07,19.96,29.235
250,IRM,,30.58,32.64,24.3,26.47
251,ISRG,487.75,462.94,594.415,405.02,573.25
252,IT,86.58,150.61,151.28,85.62,124.12
253,ITW,,136.92,187.78,128.02,172.615
254,IVZ,39.59,19.45,17.82,8.72,8.37
255,J,,,99.04,68.01,84.94
256,JBHT,83.16,84.11,111.41,82.2419,118.3475
257,JCI,52.106,38.21,41.01,24.58,32.27
258,JKHY,64.4,130.465,168.21,146.1,181.825
259,JNJ,99.72,130.65,149.21,123.04299999999999,146.82
260,JNPR,26.65,24.66,24.52,17.67,24.23
261,JPM,65.97,104.84,137.0,82.48,100.16
262,JWN,72.64,31.17,39.03,19.09,16.505
263,K,62.1301,51.28,66.91,56.04,65.53
264,KEY,14.35,15.95,19.62,8.5,12.135
265,KEYS,32.69,75.87,96.86,81.74,105.835
266,KHC,,26.96,26.46,21.78,30.73
267,KIM,23.91,17.09,18.86,10.07,12.53
268,KLAC,59.41,101.72,176.495,126.655,176.19
269,KMB,108.38,128.77,144.68,123.78,140.73
270,KMI,41.12,19.775,21.9,11.15,15.895
271,KMX,,77.48,97.97,45.89,90.7
272,KO,40.95,48.78,59.61,40.52,46.91
273,KR,72.64,22.44,28.31,31.03,32.52
274,KSS,65.0044,48.82,44.22,15.36,20.6
275,KSU,90.02,110.04,172.895,112.68,151.915
276,L,39.85,50.74,53.655,32.51,34.82
277,LB,,22.02,24.235,9.79,16.49
278,LDOS,,73.95,112.66,73.71,103.23
279,LEG,47.04,35.64,45.12,24.31,32.44
280,LEN,46.61,49.34,69.22,30.27,60.06
281,LH,117.71,160.7421,191.45,109.16,179.72
282,LHX,,,226.48,150.8,193.92
283,LIN,121.81,179.82,220.14,149.52,206.26
284,LKQ,28.43,25.17,33.48,15.74,28.16
285,LLY,78.62,114.99,140.93,126.49,152.56
286,LMT,,337.35,434.15,304.01,387.74
287,LNC,56.5414,59.86,61.0,17.52,39.71
288,LNT,61.09,46.67,59.33,43.2,49.64
289,LOW,69.7,91.23,124.76,66.72,131.91
290,LRCX,82.25,174.50599999999997,338.72,195.01,271.16
291,LUV,36.61,48.55,58.54,29.65,34.42
292,LVS,49.68,54.275,67.98,40.62,48.01
293,LW,,59.16,94.54,48.15,61.12
294,LYB,100.64,75.34,82.25,40.39,67.7699
295,LYV,28.33,60.61,72.93,32.31,52.53
296,MA,91.61,250.09,336.5501,224.21,304.985
297,MAA,76.1,112.85,143.94,90.06,118.47
298,MAR,77.365,122.46,145.0,69.0,95.865
299,MAS,,,46.0027,30.4,47.07
300,MCD,95.84,197.0,217.06,149.5,188.3561
301,MCHP,48.83,79.56,109.4,60.56,97.7
302,MCK,235.57,121.7,164.25,119.51,158.91
303,MCO,107.965,183.68,273.0,172.22,274.72
304,MDLZ,40.66,50.55,58.85,44.43,51.94
305,MDT,,91.83,,75.792,97.02
306,MET,51.65,46.27,52.23,25.05,36.845
307,MGM,19.5,24.85,31.175,8.25,17.91
308,MHK,186.36,135.5,128.01,60.41,96.56
309,MKC,78.01,153.51,166.7884,124.61,176.52
310,MKTX,87.34,282.97,338.74,304.92,517.23
311,MLM,,205.02,261.48,159.3,200.76
312,MMC,58.01,94.73,118.73,77.44,107.475
313,MMM,158.57,159.0,158.82,130.12,157.85
314,MNST,126.41,61.8,69.4,53.75,71.91
315,MO,50.88,49.26,45.4308,34.45,39.515
316,MOS,45.13,20.83,18.97,8.03,12.7
317,MPC,103.16,45.47,59.049,16.43,37.5734
318,MRK,60.34,78.06,81.67,68.5,79.69
319,MRO,26.98,13.11,10.81,3.65,5.82
320,MS,38.16,40.91,55.72,29.19,45.785
321,MSCI,61.74,218.71,313.59,237.35,331.265
322,MSFT,46.62,123.42,182.65,142.71,183.04
323,MSI,58.86,148.55,182.61,138.07,139.31
324,MTB,119.7,158.75,169.59,100.21,108.535
325,MTD,321.8,709.91,766.28,684.86,814.67
326,MU,27.75,32.15,59.3,36.29,46.165
327,MXIM,34.79,52.53,63.71,44.35,58.13
328,MYL,72.395,16.63,21.49,15.05,17.51
329,NBL,43.21,21.09,19.395,3.92,9.89
330,NCLH,54.2,54.27,52.44,8.23,17.5849
331,NDAQ,51.52,89.73,114.53,84.43,119.24
332,NEE,102.44,196.61,275.54,202.11,259.04
333,NEM,27.005,32.37,43.8,41.15,59.38
334,NFLX,615.61,343.83,380.45,332.03,425.68
335,NI,,27.43,30.06,22.7,24.535
336,NKE,101.45,77.67,102.925,69.4,99.86
337,NLOK,,,20.61,16.07,20.7926
338,NLSN,44.94,22.16,21.5,14.18,14.93
339,NOC,158.3,304.56,367.15,290.17,329.09
340,NOV,48.71,20.38,22.725,9.97,12.76
341,NOW,75.02,257.5,350.88,268.45,380.2642
342,NRG,25.005,33.43,39.51,23.95,36.37
343,NSC,,,209.97,129.07,183.98
344,NTAP,32.87,59.0,54.3,37.08,42.78
345,NTRS,73.98,85.3,100.12,64.85,82.015
346,NUE,47.0,47.0,47.51,30.35,42.87
347,NVDA,22.12,135.47,286.0,212.97,350.72
348,NVR,1354.88,3151.2,3985.1558,2534.0,3270.09
349,NWL,,13.04,18.55,11.51,13.785
350,NWS,14.86,11.66,14.74,8.59,12.3
351,NWSA,15.01,11.35,14.32,8.97,12.23
352,O,,,78.81,47.31,57.44
353,ODFL,67.36,131.61,221.3,162.1,167.92
354,OKE,41.23,63.38,76.355,20.49,38.8
355,OMC,73.96,76.9,78.405,50.24,55.37
356,ORCL,43.49,50.89,55.24,44.73,52.83
357,ORLY,218.82,366.29,390.38,275.0,421.78
358,OTIS,,,,,54.09
359,OXY,77.911,50.46,41.71,9.55,14.48
360,PAYC,34.18,206.22,304.72,197.55,303.9
361,PAYX,49.09,85.1639,88.4,53.5,72.525
362,PBCT,,15.24,16.26,12.115,11.925
363,PCAR,63.19,66.25,74.28,53.69,73.14
364,PEAK,,,36.79,19.95,25.99
365,PEG,42.53,58.135,58.38,38.56,52.09
366,PEP,,126.99,145.94,111.32,131.28
367,PFE,34.55,41.49,36.52,29.2,35.71
368,PFG,51.14,52.138000000000005,55.82,25.14,40.485
369,PG,78.27,103.41,124.91,104.3,117.805
370,PGR,27.301,79.55,83.43,65.19,79.035
371,PH,119.5,152.61,211.15,103.31,184.29
372,PHM,19.24,30.97,46.39,19.0,34.5862
373,PKG,67.39,87.855,99.41,81.2,103.47
374,PKI,52.36,84.455,95.65,66.64,101.34
375,PLD,39.42,72.5,96.62,63.11,95.195
376,PM,82.5,77.95,88.54,61.07,73.69
377,PNC,94.5,126.34,153.9,86.6,115.76
378,PNR,63.44,34.83,44.29,24.48,39.34
379,PNW,60.825,92.95,100.105,66.15,77.925
380,PPG,221.0,105.02,120.06,71.751,106.4599
381,PPL,34.56,29.73,35.26,21.285,28.93
382,PRGO,191.51,40.68,57.23,40.8,55.51
383,PRU,83.66,92.665,94.25,42.058,61.12
384,PSA,193.01,233.31,228.65,180.02,204.5
385,PSX,78.9,80.24,88.78,45.39,81.01
386,PVH,103.9,82.51,88.82,31.83,48.4
387,PWR,29.15,34.665,40.32,25.46,39.225
388,PXD,147.6,141.1,138.08,59.291000000000004,95.925
389,PYPL,,108.74,120.21,92.1426,156.58
390,QCOM,69.11,64.6,89.42,64.27,81.2
391,QRVO,80.09,58.2445,107.685,73.85,106.8
392,RCL,75.31,121.0,111.6,22.0,56.93
393,RE,180.05,244.12,289.66,179.99,197.795
394,REG,62.91,64.88,62.44,35.91,45.78
395,REGN,505.12,295.7251,393.3913,467.0,600.14
396,RF,9.96,13.7,16.47,7.87,11.76
397,RHI,56.23,54.1,60.04,35.67,52.575
398,RJF,57.565,82.58,98.49,62.395,73.36
399,RL,129.78,,120.42,69.0,77.715
400,RMD,58.54,111.91,173.95,126.58,159.26
401,ROK,122.32,149.04,199.48,129.26,217.37
402,ROL,24.72,37.28,39.73,34.8,42.45
403,ROP,,343.36,388.21,289.06,391.575
404,ROST,95.76,91.46,120.68,65.0,97.31
405,RSG,40.05,83.48,98.99,70.5151,86.285
406,RTX,,,,,62.79
407,SBAC,,,289.54,235.97,317.58
408,SBUX,51.67,75.06,89.49,61.37,77.57
409,SCHW,31.19,41.22,46.882,30.03,37.455
410,SEE,48.69,40.67,34.45,21.285,32.5
411,SHW,286.23,417.595,579.1685,413.83,592.73
412,SIVB,132.95,203.8675,264.45,155.01,215.74
413,SJM,118.04,119.54,107.61,104.38,113.915
414,SLB,89.68,34.32,34.38,13.1,18.8101
415,SLG,118.26,85.27,94.56,48.6855,46.25
416,SNA,154.18,154.455,155.04,101.53,133.88
417,SNPS,49.54,115.5526,162.01,114.45,182.545
418,SO,,52.84,68.76100000000001,48.6,57.65
419,SPG,180.0,160.7,138.28,55.42,64.19
420,SPGI,102.7405,214.17,300.55,205.29,326.4
421,SRE,107.1,130.75,159.62,97.32,129.965
422,STE,65.97,130.29,166.15,117.04,163.62
423,STT,77.235,55.27,78.3,45.99,63.61
424,STX,54.96,42.44,54.84,41.95,51.93
425,STZ,117.89,171.27,202.22,120.37,174.225
426,SWK,101.94,128.16,166.54,79.96,129.44
427,SWKS,109.18,66.51,120.41,76.0109,120.6962
428,SYF,31.9,33.8,33.57,13.75,22.01
429,SYK,95.44,182.0,216.52,144.61,196.87
430,SYY,37.07,69.21,78.1,39.28,57.14
431,T,34.24,30.745,38.11,28.18,30.975
432,TAP,72.85,53.41,55.04,37.76,38.89
433,TDG,225.39,442.7054,649.24,305.77,439.21
434,TEL,68.4,84.71,93.94,52.31,85.445
435,TFC,,,54.39,28.0,38.51
436,TFX,127.68,284.97,381.79,253.12,367.875
437,TGT,79.11,79.35,117.46,98.32,120.3
438,TIF,93.05799999999999,86.38,134.21,125.01,128.0
439,TJX,64.3,49.51,63.32,40.15,53.595
440,TMO,128.51,265.01,335.05,268.15,349.005
441,TMUS,38.57,73.6,95.02,77.24,100.07
442,TPR,35.23,27.93,28.71,11.9,14.195
443,TROW,80.14,100.71,136.11,94.1401,123.53
444,TRV,100.95,144.49,136.23,84.96,110.36
445,TSCO,86.58,98.55,97.88,74.54,122.85
446,TSN,41.86,74.83,80.76,54.21,62.7
447,TT,,,,78.1,91.13
448,TTWO,26.85,105.68,111.765,105.18,134.79
449,TWTR,36.43,36.3,36.79,24.13,32.11
450,TXN,55.42,103.07700000000001,132.16,101.57,120.02
451,TXT,44.9,45.3,47.75,23.46,32.1886
452,UA,77.7,20.08,15.15,7.79,8.57
453,UAA,77.7,22.6,16.69,8.8,9.6482
454,UAL,54.07,77.53,80.25,22.2,29.9187
455,UDR,32.45,44.01,49.69,32.97,38.04
456,UHS,128.93,117.77,140.18,80.47,105.0
457,ULTA,151.0,304.04,296.14,146.99,239.73
458,UNH,118.75,239.48,300.76,218.3,307.66
459,UNM,34.83,31.71,29.96,10.34,16.41
460,UNP,100.43,164.0,183.405,113.46,173.3784
461,UPS,98.89,93.94,104.675,93.3565,100.04
462,URI,,,,72.62,143.145
463,USB,,49.5,54.9,31.12,37.4455
464,V,68.43,160.55,207.9,148.46,197.01
465,VAR,,,145.82,,122.655
466,VFC,69.95,80.76,83.435,55.17,59.15
467,VIAC,,,34.7599,11.96,21.64
468,VLO,58.83,69.44,82.3349,36.95,68.08
469,VMC,89.141,123.71,144.8701,85.0,108.86
470,VNO,99.71,65.68,67.46,30.88,39.51
471,VRSK,72.53,139.26,170.29,125.94,171.97
472,VRSN,62.77,193.68,207.02,161.16,216.48
473,VRTX,126.11,166.89,238.55,213.2,283.64
474,VTR,66.55,63.68,58.71,19.98,36.18
475,VZ,49.14,54.41,58.31,51.38,56.1503
476,WAB,99.3,62.22,76.78,40.01,63.42
477,WAT,133.17,200.28,216.57,170.47,201.5
478,WBA,84.7,49.32,53.11,45.5646,43.64
479,WDC,96.39,37.9,69.01,31.34,43.71
480,WEC,48.06,79.865,101.35,83.61,93.8
481,WELL,70.26,80.5,88.0,40.92,54.19
482,WFC,55.8,44.22,47.75,26.7,27.835
483,WHR,183.27,114.0,151.22,78.02,126.575
484,WLTW,,176.09,211.285,149.27,202.61
485,WM,49.54,107.8,124.01,97.02,107.12
486,WMB,50.77,26.28,21.44,10.82,20.51
487,WMT,74.41,100.6002,117.5,114.28,123.273
488,WRB,48.94,61.58,78.83,47.27,58.42
489,WRK,,32.01,40.6,24.5,28.71
490,WST,53.96,113.04,172.94,130.04,210.995
491,WU,21.755,19.16,26.11,19.18,23.005
492,WY,32.381,22.35,30.155,15.13,21.725
493,WYNN,97.89,106.46,130.77,49.0101,84.9
494,XEL,33.96,57.1,69.77,56.66,65.985
495,XLNX,47.9,102.81,90.24,73.93,91.33
496,XOM,84.8,70.51,60.57,32.88,47.34
497,XRAY,51.9,53.01,56.38,33.67,47.72
498,XRX,11.36,30.43,37.71,17.01,17.13
499,XYL,36.31,73.38,86.99,60.54,67.93
500,YUM,89.54,100.74,104.63,59.63,91.93
501,ZBH,113.94,111.44,157.6,85.8,128.88
502,ZBRA,109.28,167.27,235.1,182.4701,264.55
503,ZION,28.3,,46.18,26.05,34.1
504,ZTS,49.373000000000005,100.56,143.115,100.11,139.8
